순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액.1,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
113,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,,0,2020-11-12,개봉영화,유럽,187,0.174069,1740690,258.89,"25,889","321,350","32,135,000","4,680",애니메이션,전체관람가,독립/예술영화
114,비밀정보원: 인 더 프리즌,안드레아 디 스테파노,0,2020-04-15,개봉영화,유럽,200,0.17258894,1725889.4,203.17,"20,317","649,646","64,964,580","7,585",범죄,청소년관람불가,일반영화
115,레미제라블: 뮤지컬 콘서트,제임스 파우웰,1,2020-05-13,개봉영화,북아메리카,339,0.16292192,1629219.2,124.26,"12,426","681,749","68,174,940","5,768",뮤지컬,12세이상관람가,일반영화
116,추억의 검정고무신,송정율,0,2020-11-19,개봉영화,한국,215,0.1620831,1620831,201.13,"20,113","290,925","29,092,500","3,247",애니메이션,전체관람가,독립/예술영화
117,블라인드,타마르 반 덴 도프,0,2021-01-14,개봉영화,유럽,239,0.1585321,1585321,182.97,"18,297","588,487","58,848,700","6,742",드라마,15세이상관람가,일반영화
118,애프터 웨딩 인 뉴욕,바트 프룬디치,0,2020-04-23,개봉영화,유럽,169,0.15734628,1573462.8,192.41,"19,241","911,692","91,169,220","11,103",드라마,12세이상관람가,독립/예술영화
119,더 터닝,플로리아 시지스몬디,0,2020-04-02,개봉영화,북아메리카,294,0.15419794,1541979.4,175.32,"17,532","556,481","55,648,100","6,194",미스터리,15세이상관람가,독립/예술영화
120,돌멩이,김정식,0,2020-10-15,개봉영화,한국,425,0.1463734,1463734,176.32,"17,632","539,501","53,950,130","6,044",드라마,12세이상관람가,독립/예술영화
121,마틴 에덴,피에트로 마르첼로,0,2020-10-29,개봉영화,유럽,60,0.14338343,1433834.3,155.93,"15,593","1,054,158","105,415,830","11,136",드라마,12세이상관람가,독립/예술영화
122,800,관후,0,2020-12-10,개봉영화,아시아,223,0.1417102,1417102,166.26,"16,626","438,725","43,872,500","5,010",전쟁,15세이상관람가,일반영화
123,킹덤,사토 신스케,0,2020-04-29,개봉영화,아시아,186,0.1409375,1409375,176.63,"17,663","448,370","44,837,000","5,614",액션,15세이상관람가,일반영화
124,해수의 아이,와타나베 아유무,0,2020-09-30,개봉영화,아시아,76,0.13998785,1399878.5,152.11,"15,211","773,047","77,304,740","7,749",애니메이션,전체관람가,독립/예술영화
125,택스 콜렉터,데이비드 에이어,0,2020-11-18,개봉영화,북아메리카,372,0.13852525,1385252.5,181.97,"18,197","670,398","67,039,760","9,579",액션,청소년관람불가,일반영화
126,아홉 스님,윤성준,0,2020-05-27,개봉영화,한국,141,0.1376252,1376252,223.3,"22,330","706,320","70,632,000","13,607",드라마,전체관람가,독립/예술영화
127,#아이엠히어,에릭 라티고,2,2021-01-14,개봉영화,유럽,432,0.13579571,1357957.1,162.9,"16,290","559,240","55,923,950","7,437",멜로/로맨스,12세이상관람가,독립/예술영화
