순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
129,프랑스여자,김희정,2,2020-06-04,개봉영화,한국,244,"1,292,304","129,230,400",181,"18,106",518251.6,"51,825,160",6765,드라마,15세이상관람가,독립/예술영화
130,파티마의 기적,마르코 폰테코르보,0,2020-12-03,개봉영화,북아메리카,162,"1,290,906","129,090,600",161,"16,062",409680,"40,968,000",5267,드라마,12세이상관람가,독립/예술영화
131,초미의 관심사,남연우,0,2020-05-27,개봉영화,한국,380,"1,286,984","128,698,360",161,"16,137",482368.4,"48,236,840",5682,드라마,15세이상관람가,독립/예술영화
132,커넥트,제이콥 체이스,0,2021-01-20,개봉영화,북아메리카,386,"1,255,575","125,557,510",141,"14,140",287264.7,"28,726,470",3117,공포(호러),15세이상관람가,독립/예술영화
133,시원찮은 그녀를 위한 육성방법 피날레,,0,2020-02-27,개봉영화,아시아,71,"1,234,793","123,479,340",149,"14,862",536863.2,"53,686,320",6328,애니메이션,12세이상관람가,일반영화
134,밥정,박혜령,0,2020-10-07,개봉영화,한국,182,"1,232,049","123,204,940",157,"15,650",769695.3,"76,969,530",9458,다큐멘터리,전체관람가,독립/예술영화
135,빅풋 주니어2: 패밀리가 떴다,"벤 스타센,제레미 드그루손",0,2021-01-06,개봉영화,기타,308,"1,216,646","121,664,630",147,"14,682",232358.4,"23,235,840",2601,애니메이션,전체관람가,일반영화
136,극장판 요괴워치: 포에버 프렌즈,타카하시 시게하루,2,2020-10-15,개봉영화,아시아,423,"1,209,358","120,935,750",154,"15,434",155737.4,"15,573,740",1840,애니메이션,전체관람가,일반영화
137,가나의 혼인잔치: 언약,,0,2020-11-26,개봉영화,북아메리카,116,"1,200,503","120,050,330",137,"13,678",377896.3,"37,789,630",4167,다큐멘터리,전체관람가,일반영화
138,나이팅게일,제니퍼 켄트,0,2020-12-30,개봉영화,호주,329,"1,126,826","112,682,610",137,"13,702",352132.4,"35,213,240",4301,스릴러,청소년관람불가,독립/예술영화
139,부활,구수환,0,2020-07-09,개봉영화,한국,83,"1,125,965","112,596,500",144,"14,437",356305,"35,630,500",4343,다큐멘터리,전체관람가,일반영화
140,언플랜드,"척 콘젤만,캐리 솔로몬",0,2020-12-17,개봉영화,북아메리카,281,"1,119,817","111,981,660",131,"13,077",359235.7,"35,923,570",4198,드라마,15세이상관람가,일반영화
141,엔딩스 비기닝스,드레이크 도리머스,2,2020-06-24,개봉영화,북아메리카,251,"1,101,809","110,180,880",134,"13,401",425671.8,"42,567,180",5064,드라마,15세이상관람가,독립/예술영화
142,너는 달밤에 빛나고,츠키카와 쇼,0,2020-06-10,개봉영화,아시아,178,"1,095,780","109,578,000",124,"12,382",396045,"39,604,500",4378,멜로/로맨스,12세이상관람가,독립/예술영화
